env,metric,n,median,p50,p95,p99,mean,ci95_lo,ci95_hi
aks-real-sevsnp,pending_ms,30,0.0,0.0,1000.0,1000.0,133.333,33.333,266.667
aks-real-sevsnp,admission_to_running_ms,30,1000.0,1000.0,2000.0,2000.0,1200.0,1066.667,1333.333
aks-real-sevsnp,filter_score_ms,30,0.0,0.0,0.0,710.0,33.333,0.0,100.0
aks-real-sevsnp,reserve_bind_ms,30,0.0,0.0,550.0,1000.0,66.667,0.0,166.667
aks-real-sevsnp,sched_total_ms,30,0.0,0.0,1000.0,1000.0,100.0,0.0,233.333
aks-real-sevsnp,prefilter_latency_ms,30,76.459,76.459,87.971,88.607,55.283,44.198,66.625
aks-real-sevsnp,filter_latency_ms,30,51.657,51.657,64.835,78.79,53.767,51.111,56.987
aks-real-sevsnp,score_latency_ms,30,0.002,0.002,0.005,0.007,0.002,0.002,0.003
aks-real-sevsnp,permit_wait_ms,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aks-real-sevsnp,reserve_latency_ms,30,45.982,45.982,68.349,74.609,49.105,45.974,52.696
aks-real-sevsnp,prebind_latency_ms,30,29.133,29.133,41.776,46.497,29.765,27.647,32.142
aks-real-sevsnp,bind_latency_ms,30,10.003,10.003,20.223,37.766,11.61,9.758,14.312
aks-real-sevsnp,scheduler_total_latency_ms,30,223.0,223.0,268.038,285.563,210.46,195.247,226.002
aks-real-sevsnp,filter_precise_ms,30,51.657,51.657,64.835,78.79,53.767,51.111,56.987
aks-real-sevsnp,score_precise_ms,30,0.002,0.002,0.005,0.007,0.002,0.002,0.003
aks-real-sevsnp,reserve_prebind_precise_ms,30,75.374,75.374,102.254,118.825,78.869,74.146,84.34
aks-real-sevsnp,bind_precise_ms,30,10.003,10.003,20.223,37.766,11.61,9.758,14.312
aks-real-sevsnp,sched_total_precise_ms,30,223.0,223.0,268.038,285.563,210.46,195.247,226.002
