timestamp,env,run_id,warmup,baseline,scheduler,node,success,admission_latency_ms,prefilter_latency_ms,filter_latency_ms,score_latency_ms,permit_wait_ms,prebind_latency_ms,bind_latency_ms,scheduler_total_latency_ms,pod_pending_duration_ms,pod_admission_to_running_ms,scheduler_cpu_millicores,scheduler_memory_mib,raw_log_path
2026-07-06T06:36:52Z,aks-real-sevsnp,B1-1,true,B1,default-scheduler,aks-system-37319869-vmss000000,success,3282,,,,,,,1419,4701,2436,5.0,14.0,article1/results/raw/aks/performance-b1-b5/b1-001-073640.log
2026-07-06T06:37:04Z,aks-real-sevsnp,B1-2,true,B1,default-scheduler,aks-system-37319869-vmss000000,success,2667,,,,,,,1153,3820,2336,5.0,14.0,article1/results/raw/aks/performance-b1-b5/b1-002-073653.log
2026-07-06T06:37:17Z,aks-real-sevsnp,B1-3,false,B1,default-scheduler,aks-system-37319869-vmss000000,success,2832,,,,,,,2137,4969,3369,5.0,14.0,article1/results/raw/aks/performance-b1-b5/b1-003-073705.log
2026-07-06T06:37:29Z,aks-real-sevsnp,B1-4,false,B1,default-scheduler,aks-system-37319869-vmss000000,success,2741,,,,,,,947,3688,2058,5.0,14.0,article1/results/raw/aks/performance-b1-b5/b1-004-073718.log
2026-07-06T06:37:41Z,aks-real-sevsnp,B1-5,false,B1,default-scheduler,aks-system-37319869-vmss000000,success,2719,,,,,,,1298,4017,2347,5.0,14.0,article1/results/raw/aks/performance-b1-b5/b1-005-073730.log
2026-07-06T06:37:53Z,aks-real-sevsnp,B1-6,false,B1,default-scheduler,aks-system-37319869-vmss000000,success,2640,,,,,,,1009,3649,2201,3.0,14.0,article1/results/raw/aks/performance-b1-b5/b1-006-073742.log
2026-07-06T06:38:07Z,aks-real-sevsnp,B1-7,false,B1,default-scheduler,aks-system-37319869-vmss000000,success,3200,,,,,,,1267,4467,2323,3.0,14.0,article1/results/raw/aks/performance-b1-b5/b1-007-073755.log
2026-07-06T06:38:19Z,aks-real-sevsnp,B1-8,false,B1,default-scheduler,aks-system-37319869-vmss000000,success,2681,,,,,,,990,3671,1998,3.0,14.0,article1/results/raw/aks/performance-b1-b5/b1-008-073808.log
2026-07-06T06:38:31Z,aks-real-sevsnp,B1-9,false,B1,default-scheduler,aks-system-37319869-vmss000000,success,2466,,,,,,,1116,3582,2592,3.0,14.0,article1/results/raw/aks/performance-b1-b5/b1-009-073820.log
2026-07-06T06:38:44Z,aks-real-sevsnp,B1-10,false,B1,default-scheduler,aks-system-37319869-vmss000000,success,2446,,,,,,,1173,3619,2550,3.0,14.0,article1/results/raw/aks/performance-b1-b5/b1-010-073832.log
2026-07-06T06:38:55Z,aks-real-sevsnp,B1-11,false,B1,default-scheduler,aks-system-37319869-vmss000000,success,2402,,,,,,,1034,3436,2062,1.0,14.0,article1/results/raw/aks/performance-b1-b5/b1-011-073845.log
