timestamp,env,attack_id,adversary,service_account,attempted_action,expected_result,actual_result,blocked,reason,raw_log_path
2026-07-05T08:17:17Z,kind-live-simulated,A10-node-create-evidence,compromised-node-agent,system:serviceaccount:ai-platform:node-attestation-agent,create_attestationevidences.aiops.imperium.io,no,no,true,expected_no,article1/results/raw/kind/a10/A10-node-create-evidence.log
2026-07-05T08:17:17Z,kind-live-simulated,A10-node-update-evidence,compromised-node-agent,system:serviceaccount:ai-platform:node-attestation-agent,update_attestationevidences.aiops.imperium.io,no,no,true,expected_no,article1/results/raw/kind/a10/A10-node-update-evidence.log
2026-07-05T08:17:17Z,kind-live-simulated,A10-node-patch-evidence-status,compromised-node-agent,system:serviceaccount:ai-platform:node-attestation-agent,patch_attestationevidences/status.aiops.imperium.io,no,no,true,expected_no,article1/results/raw/kind/a10/A10-node-patch-evidence-status.log
2026-07-05T08:17:17Z,kind-live-simulated,A10-scheduler-create-evidence,compromised-scheduler,system:serviceaccount:ai-platform:attestation-scheduler,create_attestationevidences.aiops.imperium.io,no,no,true,expected_no,article1/results/raw/kind/a10/A10-scheduler-create-evidence.log
2026-07-05T08:17:18Z,kind-live-simulated,A10-node-create-raw-report,compromised-node-agent,system:serviceaccount:ai-platform:node-attestation-agent,create_rawattestationreports.aiops.imperium.io,yes,yes,false,expected_yes,article1/results/raw/kind/a10/A10-node-create-raw-report.log
2026-07-05T08:17:18Z,kind-live-simulated,A10-verifier-create-evidence,central-verifier-control,system:serviceaccount:ai-platform:central-verifier,create_attestationevidences.aiops.imperium.io,yes,yes,false,expected_yes,article1/results/raw/kind/a10/A10-verifier-create-evidence.log
2026-07-05T08:17:18Z,kind-live-simulated,A10-forged-raw-report,compromised-node-agent,system:serviceaccount:ai-platform:node-attestation-agent,create_rawattestationreports.aiops.imperium.io,yes,yes,false,raw_report_created_for_verifier_negative_control,article1/results/raw/kind/a10/A10-forged-raw-report.log
2026-07-05T08:17:19Z,kind-live-simulated,A10-forged-verifier-outcome,compromised-node-agent,system:serviceaccount:ai-platform:node-attestation-agent,forge_real_attestation_via_raw_report,unverified,unverified,true,central_verifier_refused_bogus_real_token,article1/results/raw/kind/a10/A10-forged-verifier-outcome.log
2026-07-05T08:17:44Z,kind-live-simulated,A10-scheduler-refuses-placement,compromised-node-agent,system:serviceaccount:ai-platform:attestation-scheduler,schedule_pod_with_unverified_or_incompatible_evidence,pending,pending,true,scheduler_did_not_bind_pod_without_valid_matching_evidence,article1/results/raw/kind/a10/A10-scheduler-refuses-unverified-placement.log
2026-07-05T08:17:45Z,kind-live-simulated,A10-verify-placement-tampered-token,token-tamper,offline-verifier,verify_tampered_placement_token,fail,fail,true,verify-placement_rejected_tampered_signature,article1/results/raw/kind/a10/A10-verify-placement-tampered-token.log
