timestamp,env,run_id,seed,baseline,scenario,node,admission_latency_ms,prefilter_latency_ms,filter_latency_ms,score_latency_ms,permit_wait_ms,reserve_latency_ms,prebind_latency_ms,bind_latency_ms,scheduler_total_latency_ms,pod_pending_duration_ms,pod_admission_to_running_ms,success,status,reason,raw_log_path
2026-07-05T08:15:20Z,kind-live-simulated,warmup-1,1001,B5-proposed,scheduling-overhead,ai-platform-control-plane,0,46.462,3.108,0.001,0.0,16.578,9.549,6.251,85.763,0,,success,EXECUTED,,article1/results/raw/kind/.sched-1.log
2026-07-05T08:15:23Z,kind-live-simulated,warmup-2,1002,B5-proposed,scheduling-overhead,ai-platform-control-plane,1000,43.505,3.315,0.001,0.0,17.244,8.633,5.317,84.579,1000,2000,success,EXECUTED,,article1/results/raw/kind/.sched-2.log
2026-07-05T08:15:24Z,kind-live-simulated,warmup-3,1003,B5-proposed,scheduling-overhead,ai-platform-control-plane,0,83.504,3.461,0.002,0.0,13.127,12.456,10.346,127.446,1000,,success,EXECUTED,,article1/results/raw/kind/.sched-3.log
2026-07-05T08:15:27Z,kind-live-simulated,measured-4,1004,B5-proposed,scheduling-overhead,ai-platform-control-plane,0,45.734,2.859,0.001,0.0,16.011,11.609,5.316,85.349,0,2000,success,EXECUTED,,article1/results/raw/kind/.sched-4.log
2026-07-05T08:15:29Z,kind-live-simulated,measured-5,1005,B5-proposed,scheduling-overhead,ai-platform-control-plane,0,80.461,3.862,0.001,0.0,15.687,18.557,5.824,128.546,0,,success,EXECUTED,,article1/results/raw/kind/.sched-5.log
2026-07-05T08:15:30Z,kind-live-simulated,measured-6,1006,B5-proposed,scheduling-overhead,ai-platform-control-plane,0,80.844,3.35,0.001,0.0,11.522,11.627,6.663,117.582,0,,success,EXECUTED,,article1/results/raw/kind/.sched-6.log
2026-07-05T08:15:32Z,kind-live-simulated,measured-7,1007,B5-proposed,scheduling-overhead,ai-platform-control-plane,0,81.915,3.59,0.001,0.0,11.948,14.651,5.578,121.438,0,,success,EXECUTED,,article1/results/raw/kind/.sched-7.log
2026-07-05T08:15:34Z,kind-live-simulated,measured-8,1008,B5-proposed,scheduling-overhead,ai-platform-control-plane,0,83.113,5.132,0.002,0.0,17.106,18.02,13.451,142.136,0,,success,EXECUTED,,article1/results/raw/kind/.sched-8.log
2026-07-05T08:15:35Z,kind-live-simulated,measured-9,1009,B5-proposed,scheduling-overhead,ai-platform-control-plane,0,72.605,3.601,0.001,0.0,11.498,8.151,11.799,111.265,0,,success,EXECUTED,,article1/results/raw/kind/.sched-9.log
2026-07-05T08:15:37Z,kind-live-simulated,measured-10,1010,B5-proposed,scheduling-overhead,ai-platform-control-plane,0,74.99,4.209,0.002,0.0,14.21,22.29,6.525,126.001,0,,success,EXECUTED,,article1/results/raw/kind/.sched-10.log
2026-07-05T08:15:38Z,kind-live-simulated,measured-11,1011,B5-proposed,scheduling-overhead,ai-platform-control-plane,0,68.874,3.95,0.002,0.0,17.394,14.512,7.076,115.617,0,,success,EXECUTED,,article1/results/raw/kind/.sched-11.log
2026-07-05T08:15:40Z,kind-live-simulated,measured-12,1012,B5-proposed,scheduling-overhead,ai-platform-control-plane,0,74.279,4.717,0.001,0.0,10.197,18.038,9.447,122.703,0,,success,EXECUTED,,article1/results/raw/kind/.sched-12.log
2026-07-05T08:15:42Z,kind-live-simulated,measured-13,1013,B5-proposed,scheduling-overhead,ai-platform-control-plane,0,8.197,5.723,0.002,0.0,13.868,15.669,8.783,59.985,0,,success,EXECUTED,,article1/results/raw/kind/.sched-13.log
2026-07-05T08:15:43Z,kind-live-simulated,measured-14,1014,B5-proposed,scheduling-overhead,ai-platform-control-plane,0,73.799,4.163,0.001,0.0,14.518,11.915,8.973,118.812,1000,,success,EXECUTED,,article1/results/raw/kind/.sched-14.log
2026-07-05T08:15:46Z,kind-live-simulated,measured-15,1015,B5-proposed,scheduling-overhead,ai-platform-control-plane,0,61.458,5.583,0.002,0.0,19.973,32.847,12.178,136.185,0,,success,EXECUTED,,article1/results/raw/kind/.sched-15.log
2026-07-05T08:15:48Z,kind-live-simulated,measured-16,1016,B5-proposed,scheduling-overhead,ai-platform-control-plane,0,42.49,5.861,0.002,0.0,16.578,23.443,16.675,109.726,0,,success,EXECUTED,,article1/results/raw/kind/.sched-16.log
2026-07-05T08:15:51Z,kind-live-simulated,measured-17,1017,B5-proposed,scheduling-overhead,ai-platform-control-plane,0,71.028,3.671,0.003,0.0,14.691,15.455,6.729,115.955,0,,success,EXECUTED,,article1/results/raw/kind/.sched-17.log
2026-07-05T08:15:54Z,kind-live-simulated,measured-18,1018,B5-proposed,scheduling-overhead,ai-platform-control-plane,1000,59.111,3.874,0.002,0.0,13.103,9.188,8.376,102.913,1000,2000,success,EXECUTED,,article1/results/raw/kind/.sched-18.log
2026-07-05T08:15:55Z,kind-live-simulated,measured-19,1019,B5-proposed,scheduling-overhead,ai-platform-control-plane,0,76.077,3.416,0.003,0.0,22.887,10.634,8.366,124.881,0,,success,EXECUTED,,article1/results/raw/kind/.sched-19.log
2026-07-05T08:15:57Z,kind-live-simulated,measured-20,1020,B5-proposed,scheduling-overhead,ai-platform-control-plane,0,72.368,3.497,0.001,0.0,23.211,24.619,6.613,134.577,0,,success,EXECUTED,,article1/results/raw/kind/.sched-20.log
2026-07-05T08:15:58Z,kind-live-simulated,measured-21,1021,B5-proposed,scheduling-overhead,ai-platform-control-plane,0,81.255,3.404,0.002,0.0,9.689,14.107,5.423,118.153,0,,success,EXECUTED,,article1/results/raw/kind/.sched-21.log
2026-07-05T08:16:00Z,kind-live-simulated,measured-22,1022,B5-proposed,scheduling-overhead,ai-platform-control-plane,0,80.496,6.164,0.002,0.0,12.58,16.18,12.21,133.352,0,,success,EXECUTED,,article1/results/raw/kind/.sched-22.log
2026-07-05T08:16:02Z,kind-live-simulated,measured-23,1023,B5-proposed,scheduling-overhead,ai-platform-control-plane,0,72.563,4.382,0.002,0.0,10.404,15.847,12.18,119.344,0,,success,EXECUTED,,article1/results/raw/kind/.sched-23.log
2026-07-05T08:16:04Z,kind-live-simulated,measured-24,1024,B5-proposed,scheduling-overhead,ai-platform-control-plane,0,42.077,15.169,0.002,0.0,15.649,11.553,6.516,112.689,0,,success,EXECUTED,,article1/results/raw/kind/.sched-24.log
2026-07-05T08:16:05Z,kind-live-simulated,measured-25,1025,B5-proposed,scheduling-overhead,ai-platform-control-plane,0,92.989,4.01,0.001,0.0,13.328,14.447,11.329,139.795,1000,,success,EXECUTED,,article1/results/raw/kind/.sched-25.log
2026-07-05T08:16:07Z,kind-live-simulated,measured-26,1026,B5-proposed,scheduling-overhead,ai-platform-control-plane,0,80.854,3.712,0.002,0.0,17.096,11.968,9.109,127.198,0,,success,EXECUTED,,article1/results/raw/kind/.sched-26.log
2026-07-05T08:16:10Z,kind-live-simulated,measured-27,1027,B5-proposed,scheduling-overhead,ai-platform-control-plane,0,19.529,3.294,0.001,0.0,13.564,8.426,5.482,53.936,0,,success,EXECUTED,,article1/results/raw/kind/.sched-27.log
