env,run_id,batch_size,scheduled,makespan_ms,throughput_pods_per_s,raw_log_path
kind-live-simulated,run-1,10,10,16276,0.614,article1/results/raw/kind/scalability
kind-live-simulated,run-2,10,10,19656,0.509,article1/results/raw/kind/scalability
kind-live-simulated,run-3,10,10,2172,4.604,article1/results/raw/kind/scalability
kind-live-simulated,run-4,10,10,6860,1.458,article1/results/raw/kind/scalability
kind-live-simulated,run-5,10,10,7912,1.264,article1/results/raw/kind/scalability
kind-live-simulated,run-6,10,10,3774,2.65,article1/results/raw/kind/scalability
kind-live-simulated,run-7,10,10,2660,3.759,article1/results/raw/kind/scalability
kind-live-simulated,run-8,10,10,2536,3.943,article1/results/raw/kind/scalability
kind-live-simulated,run-9,10,10,2390,4.184,article1/results/raw/kind/scalability
kind-live-simulated,run-10,10,10,3669,2.726,article1/results/raw/kind/scalability
kind-live-simulated,run-1,50,50,14261,3.506,article1/results/raw/kind/scalability
kind-live-simulated,run-2,50,50,25792,1.939,article1/results/raw/kind/scalability
kind-live-simulated,run-3,50,50,20790,2.405,article1/results/raw/kind/scalability
kind-live-simulated,run-4,50,50,42443,1.178,article1/results/raw/kind/scalability
kind-live-simulated,run-5,50,51,27209,1.874,article1/results/raw/kind/scalability
kind-live-simulated,run-6,50,50,15967,3.131,article1/results/raw/kind/scalability
kind-live-simulated,run-7,50,54,15070,3.583,article1/results/raw/kind/scalability
kind-live-simulated,run-8,50,50,28457,1.757,article1/results/raw/kind/scalability
kind-live-simulated,run-9,50,50,14819,3.374,article1/results/raw/kind/scalability
kind-live-simulated,run-10,50,50,12310,4.062,article1/results/raw/kind/scalability
kind-live-simulated,run-1,100,100,29278,3.416,article1/results/raw/kind/scalability
kind-live-simulated,run-2,100,100,47077,2.124,article1/results/raw/kind/scalability
kind-live-simulated,run-3,100,103,24991,4.121,article1/results/raw/kind/scalability
kind-live-simulated,run-4,100,101,30547,3.306,article1/results/raw/kind/scalability
kind-live-simulated,run-5,100,100,69477,1.439,article1/results/raw/kind/scalability
kind-live-simulated,run-6,100,101,32033,3.153,article1/results/raw/kind/scalability
kind-live-simulated,run-7,100,100,46170,2.166,article1/results/raw/kind/scalability
kind-live-simulated,run-8,100,100,33952,2.945,article1/results/raw/kind/scalability
kind-live-simulated,run-9,100,112,25053,4.471,article1/results/raw/kind/scalability
kind-live-simulated,run-10,100,100,41280,2.422,article1/results/raw/kind/scalability
