NAMESPACE            LAST SEEN   TYPE      REASON                         OBJECT                                                  MESSAGE
ai-platform          44m         Normal    Pulled                         pod/governance-operator-694998d56f-wv9vv                Container image "controller:0.5.4" already present on machine and can be accessed by the pod
ai-platform          44m         Normal    Pulled                         pod/attestation-scheduler-79cf9998c8-87n5s              Container image "attestation-scheduler:0.5.4" already present on machine and can be accessed by the pod
ai-platform          44m         Normal    Created                        pod/governance-operator-694998d56f-wv9vv                Container created
ai-platform          65m         Warning   Unhealthy                      pod/attestation-scheduler-79cf9998c8-87n5s              Readiness probe failed: HTTP probe failed with statuscode: 404
ai-platform          50m         Warning   Unhealthy                      pod/attestation-scheduler-79cf9998c8-87n5s              Liveness probe failed: HTTP probe failed with statuscode: 404
ai-platform          50m         Normal    Killing                        pod/attestation-scheduler-79cf9998c8-87n5s              Container attestation-scheduler failed liveness probe, will be restarted
ai-platform          46m         Warning   BackOff                        pod/governance-operator-694998d56f-wv9vv                Back-off restarting failed container manager in pod governance-operator-694998d56f-wv9vv_ai-platform(bc146179-08f2-4ded-a543-9f229a377fa0)
ai-platform          45m         Warning   BackOff                        pod/attestation-scheduler-79cf9998c8-87n5s              Back-off restarting failed container attestation-scheduler in pod attestation-scheduler-79cf9998c8-87n5s_ai-platform(e70d4af8-273c-4dd0-8bc6-c749956c7af5)
ai-platform          47m         Normal    Pulled                         pod/attestation-scheduler-77cb5fd6f5-44d6r              Container image "attestation-scheduler:0.5.4" already present on machine and can be accessed by the pod
ai-platform          44m         Warning   Unhealthy                      pod/attestation-scheduler-77cb5fd6f5-44d6r              Readiness probe failed: HTTP probe failed with statuscode: 404
ai-platform          54m         Normal    Killing                        pod/attestation-scheduler-77cb5fd6f5-44d6r              Container attestation-scheduler failed liveness probe, will be restarted
ai-platform          48m         Warning   BackOff                        pod/attestation-scheduler-77cb5fd6f5-44d6r              Back-off restarting failed container attestation-scheduler in pod attestation-scheduler-77cb5fd6f5-44d6r_ai-platform(dd0dd65b-b085-4617-bfab-d501eb3c6bc5)
ai-platform          5h40m       Warning   Unhealthy                      pod/governance-operator-694998d56f-wv9vv                Liveness probe failed: Get "http://10.244.0.7:8081/healthz": dial tcp 10.244.0.7:8081: connect: connection refused
ai-platform          5h38m       Normal    Created                        pod/attestation-scheduler-77cb5fd6f5-44d6r              Container created
