NAMESPACE            LAST SEEN   TYPE      REASON                    OBJECT                                                           MESSAGE
default              9m44s       Normal    Starting                  node/article3-performance-control-plane                          Starting kubelet.
default              9m43s       Normal    NodeAllocatableEnforced   node/article3-performance-control-plane                          Updated Node Allocatable limit across pods
default              9m43s       Normal    NodeHasSufficientPID      node/article3-performance-control-plane                          Node article3-performance-control-plane status is now: NodeHasSufficientPID
default              9m43s       Normal    NodeHasNoDiskPressure     node/article3-performance-control-plane                          Node article3-performance-control-plane status is now: NodeHasNoDiskPressure
default              9m43s       Normal    NodeHasSufficientMemory   node/article3-performance-control-plane                          Node article3-performance-control-plane status is now: NodeHasSufficientMemory
kube-system          9m38s       Normal    Started                   pod/etcd-article3-performance-control-plane                      Container started
kube-system          9m39s       Normal    Created                   pod/kube-apiserver-article3-performance-control-plane            Container created
kube-system          9m39s       Normal    Created                   pod/kube-scheduler-article3-performance-control-plane            Container created
kube-system          9m42s       Normal    Pulled                    pod/kube-scheduler-article3-performance-control-plane            Container image "registry.k8s.io/kube-scheduler:v1.35.0" already present on machine and can be accessed by the pod
kube-system          9m42s       Normal    Pulled                    pod/etcd-article3-performance-control-plane                      Container image "registry.k8s.io/etcd:3.6.6-0" already present on machine and can be accessed by the pod
kube-system          9m38s       Normal    Started                   pod/kube-controller-manager-article3-performance-control-plane   Container started
kube-system          9m39s       Normal    Created                   pod/kube-controller-manager-article3-performance-control-plane   Container created
kube-system          9m38s       Normal    Created                   pod/etcd-article3-performance-control-plane                      Container created
kube-system          9m38s       Normal    Started                   pod/kube-scheduler-article3-performance-control-plane            Container started
kube-system          9m42s       Normal    Pulled                    pod/kube-apiserver-article3-performance-control-plane            Container image "registry.k8s.io/kube-apiserver:v1.35.0" already present on machine and can be accessed by the pod
kube-system          9m42s       Normal    Pulled                    pod/kube-controller-manager-article3-performance-control-plane   Container image "registry.k8s.io/kube-controller-manager:v1.35.0" already present on machine and can be accessed by the pod
kube-system          9m38s       Normal    Started                   pod/kube-apiserver-article3-performance-control-plane            Container started
kube-system          9m32s       Normal    LeaderElection            lease/kube-controller-manager                                    article3-performance-control-plane_02098948-1deb-42ab-8aec-ce40755aa1f7 became leader
default              9m31s       Normal    NodeAllocatableEnforced   node/article3-performance-control-plane                          Updated Node Allocatable limit across pods
default              9m31s       Normal    NodeHasSufficientPID      node/article3-performance-control-plane                          Node article3-performance-control-plane status is now: NodeHasSufficientPID
default              9m31s       Normal    NodeHasNoDiskPressure     node/article3-performance-control-plane                          Node article3-performance-control-plane status is now: NodeHasNoDiskPressure
default              9m31s       Normal    NodeHasSufficientMemory   node/article3-performance-control-plane                          Node article3-performance-control-plane status is now: NodeHasSufficientMemory
default              9m31s       Normal    Starting                  node/article3-performance-control-plane                          Starting kubelet.
kube-system          9m29s       Warning   Unhealthy                 pod/kube-scheduler-article3-performance-control-plane            Readiness probe failed: HTTP probe failed with statuscode: 500
kube-system          9m29s       Normal    LeaderElection            lease/kube-scheduler                                             article3-performance-control-plane_ead147f3-44c9-49ec-94bc-1c9357ca47d0 became leader
default              9m27s       Normal    RegisteredNode            node/article3-performance-control-plane                          Node article3-performance-control-plane event: Registered Node article3-performance-control-plane in Controller
kube-system          9m26s       Warning   FailedScheduling          pod/coredns-7d764666f9-d44n9                                     0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
kube-system          9m26s       Normal    SuccessfulCreate          replicaset/coredns-7d764666f9                                    Created pod: coredns-7d764666f9-j5lb8
kube-system          9m26s       Normal    Scheduled                 pod/kube-proxy-pcpql                                             Successfully assigned kube-system/kube-proxy-pcpql to article3-performance-control-plane
local-path-storage   9m26s       Normal    ScalingReplicaSet         deployment/local-path-provisioner                                Scaled up replica set local-path-provisioner-67b8995b4b from 0 to 1
local-path-storage   9m26s       Normal    SuccessfulCreate          replicaset/local-path-provisioner-67b8995b4b                     Created pod: local-path-provisioner-67b8995b4b-7hc8p
local-path-storage   9m26s       Warning   FailedScheduling          pod/local-path-provisioner-67b8995b4b-7hc8p                      0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
kube-system          9m26s       Normal    SuccessfulCreate          daemonset/kube-proxy                                             Created pod: kube-proxy-pcpql
kube-system          9m26s       Normal    ScalingReplicaSet         deployment/coredns                                               Scaled up replica set coredns-7d764666f9 from 0 to 2
