NAMESPACE            LAST SEEN   TYPE      REASON                    OBJECT                                                           MESSAGE
kube-system          14m         Normal    LeaderElection            lease/kube-controller-manager                                    article3-performance-control-plane_313f391a-bae2-4e49-8618-a94448b27f73 became leader
default              15m         Normal    NodeHasSufficientMemory   node/article3-performance-control-plane                          Node article3-performance-control-plane status is now: NodeHasSufficientMemory
default              15m         Normal    NodeHasNoDiskPressure     node/article3-performance-control-plane                          Node article3-performance-control-plane status is now: NodeHasNoDiskPressure
default              15m         Normal    NodeHasSufficientPID      node/article3-performance-control-plane                          Node article3-performance-control-plane status is now: NodeHasSufficientPID
default              15m         Normal    Starting                  node/article3-performance-control-plane                          Starting kubelet.
kube-system          15m         Normal    Pulled                    pod/kube-apiserver-article3-performance-control-plane            Container image "registry.k8s.io/kube-apiserver:v1.35.0" already present on machine and can be accessed by the pod
default              15m         Normal    NodeAllocatableEnforced   node/article3-performance-control-plane                          Updated Node Allocatable limit across pods
kube-system          15m         Normal    Pulled                    pod/kube-scheduler-article3-performance-control-plane            Container image "registry.k8s.io/kube-scheduler:v1.35.0" already present on machine and can be accessed by the pod
kube-system          14m         Normal    Started                   pod/kube-scheduler-article3-performance-control-plane            Container started
kube-system          14m         Normal    Started                   pod/kube-apiserver-article3-performance-control-plane            Container started
kube-system          15m         Normal    Pulled                    pod/kube-controller-manager-article3-performance-control-plane   Container image "registry.k8s.io/kube-controller-manager:v1.35.0" already present on machine and can be accessed by the pod
kube-system          14m         Normal    Created                   pod/kube-apiserver-article3-performance-control-plane            Container created
kube-system          14m         Normal    Created                   pod/kube-controller-manager-article3-performance-control-plane   Container created
kube-system          14m         Normal    Created                   pod/etcd-article3-performance-control-plane                      Container created
kube-system          14m         Normal    Started                   pod/etcd-article3-performance-control-plane                      Container started
kube-system          14m         Normal    Created                   pod/kube-scheduler-article3-performance-control-plane            Container created
kube-system          15m         Normal    Pulled                    pod/etcd-article3-performance-control-plane                      Container image "registry.k8s.io/etcd:3.6.6-0" already present on machine and can be accessed by the pod
kube-system          14m         Normal    Started                   pod/kube-controller-manager-article3-performance-control-plane   Container started
kube-system          14m         Normal    LeaderElection            lease/kube-scheduler                                             article3-performance-control-plane_5abf1236-3f3d-4196-9f36-780e18282da3 became leader
default              14m         Normal    Starting                  node/article3-performance-control-plane                          Starting kubelet.
default              14m         Normal    NodeAllocatableEnforced   node/article3-performance-control-plane                          Updated Node Allocatable limit across pods
default              14m         Normal    NodeHasSufficientPID      node/article3-performance-control-plane                          Node article3-performance-control-plane status is now: NodeHasSufficientPID
default              14m         Normal    NodeHasNoDiskPressure     node/article3-performance-control-plane                          Node article3-performance-control-plane status is now: NodeHasNoDiskPressure
default              14m         Normal    NodeHasSufficientMemory   node/article3-performance-control-plane                          Node article3-performance-control-plane status is now: NodeHasSufficientMemory
default              14m         Normal    RegisteredNode            node/article3-performance-control-plane                          Node article3-performance-control-plane event: Registered Node article3-performance-control-plane in Controller
kube-system          116s        Warning   Unhealthy                 pod/kube-apiserver-article3-performance-control-plane            Readiness probe failed: HTTP probe failed with statuscode: 500
kube-system          14m         Warning   Unhealthy                 pod/kube-controller-manager-article3-performance-control-plane   Startup probe failed: Get "https://127.0.0.1:10257/healthz": unexpected EOF
kube-system          2m48s       Normal    Pulled                    pod/kube-controller-manager-article3-performance-control-plane   Container image "registry.k8s.io/kube-controller-manager:v1.35.0" already present on machine and can be accessed by the pod
kube-system          14m         Normal    LeaderElection            lease/kube-scheduler                                             article3-performance-control-plane_5abf1236-3f3d-4196-9f36-780e18282da3 stopped leading
kube-system          14m         Warning   Unhealthy                 pod/kube-apiserver-article3-performance-control-plane            Startup probe failed: HTTP probe failed with statuscode: 500
kube-system          112s        Warning   Unhealthy                 pod/kube-scheduler-article3-performance-control-plane            Readiness probe failed: Get "https://127.0.0.1:10259/readyz": dial tcp 127.0.0.1:10259: connect: connection refused
kube-system          2m48s       Normal    Created                   pod/kube-controller-manager-article3-performance-control-plane   Container created
kube-system          5m3s        Normal    Pulled                    pod/kube-scheduler-article3-performance-control-plane            Container image "registry.k8s.io/kube-scheduler:v1.35.0" already present on machine and can be accessed by the pod
kube-system          5m3s        Normal    Created                   pod/kube-scheduler-article3-performance-control-plane            Container created
kube-system          2m47s       Normal    Started                   pod/kube-controller-manager-article3-performance-control-plane   Container started
kube-system          5m3s        Normal    Started                   pod/kube-scheduler-article3-performance-control-plane            Container started
kube-system          14m         Normal    LeaderElection            lease/kube-scheduler                                             article3-performance-control-plane_16a5dffa-8e0d-4add-9afb-004cfbbfc0bc became leader
kube-system          14m         Normal    LeaderElection            lease/kube-controller-manager                                    article3-performance-control-plane_930ea90c-4384-41e6-bbc3-628f6d34ad62 became leader
kube-system          118s        Warning   Unhealthy                 pod/kube-controller-manager-article3-performance-control-plane   Liveness probe failed: Get "https://127.0.0.1:10257/healthz": dial tcp 127.0.0.1:10257: connect: connection refused
kube-system          41s         Warning   BackOff                   pod/kube-controller-manager-article3-performance-control-plane   Back-off restarting failed container kube-controller-manager in pod kube-controller-manager-article3-performance-control-plane_kube-system(d6355cfce5e6c4cb2f4171c133abd18a)
kube-system          13m         Normal    LeaderElection            lease/kube-controller-manager                                    article3-performance-control-plane_bfd39900-0bf1-4403-9a2e-115addddaf3a became leader
