controller,path,primary_watch,owns,manager_registered,enabled_by_default,requeue_after_sites
AIBreakEvenAnalysisReconciler,operateur/internal/controller/aibreakevenanalysis_controller.go,AIBreakEvenAnalysis,,true,true,3
AIBudgetPolicyReconciler,operateur/internal/controller/aibudgetpolicy_controller.go,AIBudgetPolicy,,true,true,3
AIChangeRequestReconciler,operateur/internal/controller/aichangerequest_controller.go,AIChangeRequest,,true,true,5
AIEvidenceRecordReconciler,operateur/internal/controller/aievidencerecord_controller.go,AIEvidenceRecord,,true,true,0
AIFinOpsReportReconciler,operateur/internal/controller/aifinopsreport_controller.go,AIFinOpsReport,,true,true,3
AIGatewayReconciler,operateur/internal/controller/aigateway_controller.go,AIGateway,,true,true,0
AIKeyReleasePolicyReconciler,operateur/internal/controller/aikeyreleasepolicy_controller.go,AIKeyReleasePolicy,,true,true,0
AIModelReconciler,operateur/internal/controller/aimodel_controller.go,AIModel,,true,true,0
AIPlacementDecisionReconciler,operateur/internal/controller/aiplacementdecision_controller.go,AIPlacementDecision,,true,true,0
AIProviderReconciler,operateur/internal/controller/aiprovider_controller.go,AIProvider,,true,true,0
AIQualityGateReconciler,operateur/internal/controller/aiqualitygate_controller.go,AIQualityGate,Job,true,true,1
AIRevocationPolicyReconciler,operateur/internal/controller/airevocationpolicy_controller.go,AIRevocationPolicy,,true,true,1
AIRouteOverrideReconciler,operateur/internal/controller/airoute_override_controller.go,AIRouteOverride,,true,true,3
AIRoutingPolicyReconciler,operateur/internal/controller/airoutingpolicy_controller.go,AIRoutingPolicy,,true,true,3
AISovereigntyPolicyReconciler,operateur/internal/controller/aisovereigntypolicy_controller.go,AISovereigntyPolicy,,true,true,3
AttestationEvidenceReconciler,operateur/internal/controller/attestationevidence_controller.go,AttestationEvidence,,true,false,1
RawAttestationReportReconciler,operateur/internal/controller/rawattestationreport_controller.go,RawAttestationReport,,true,false,1
