kind,plural,scope,versions,crd_path,controller_path,article3_role
AIBreakEvenAnalysis,aibreakevenanalyses,Namespaced,v1alpha1,operateur/config/crd/bases/aiops.imperium.io_aibreakevenanalyses.yaml,operateur/internal/controller/aibreakevenanalysis_controller.go,outside core paper; feasibility input only
AIBudgetPolicy,aibudgetpolicies,Namespaced,v1alpha1,operateur/config/crd/bases/aiops.imperium.io_aibudgetpolicies.yaml,operateur/internal/controller/aibudgetpolicy_controller.go,policy/catalog/aggregate governance
AIChangeRequest,aichangerequests,Namespaced,v1alpha1,operateur/config/crd/bases/aiops.imperium.io_aichangerequests.yaml,operateur/internal/controller/aichangerequest_controller.go,policy/catalog/aggregate governance
AIEvidenceRecord,aievidencerecords,Namespaced,v1alpha1,operateur/config/crd/bases/aiops.imperium.io_aievidencerecords.yaml,operateur/internal/controller/aievidencerecord_controller.go,outside core paper; feasibility input only
AIFinOpsReport,aifinopsreports,Namespaced,v1alpha1,operateur/config/crd/bases/aiops.imperium.io_aifinopsreports.yaml,operateur/internal/controller/aifinopsreport_controller.go,policy/catalog/aggregate governance
AIGateway,aigateways,Namespaced,v1alpha1,operateur/config/crd/bases/aiops.imperium.io_aigateways.yaml,operateur/internal/controller/aigateway_controller.go,policy/catalog/aggregate governance
AIKeyReleasePolicy,aikeyreleasepolicies,Namespaced,v1alpha1,operateur/config/crd/bases/aiops.imperium.io_aikeyreleasepolicies.yaml,operateur/internal/controller/aikeyreleasepolicy_controller.go,outside core paper; feasibility input only
AIModel,aimodels,Namespaced,v1alpha1,operateur/config/crd/bases/aiops.imperium.io_aimodels.yaml,operateur/internal/controller/aimodel_controller.go,policy/catalog/aggregate governance
AIPlacementDecision,aiplacementdecisions,Namespaced,v1alpha1,operateur/config/crd/bases/aiops.imperium.io_aiplacementdecisions.yaml,operateur/internal/controller/aiplacementdecision_controller.go,outside core paper; feasibility input only
AIProvider,aiproviders,Namespaced,v1alpha1,operateur/config/crd/bases/aiops.imperium.io_aiproviders.yaml,operateur/internal/controller/aiprovider_controller.go,policy/catalog/aggregate governance
AIQualityGate,aiqualitygates,Namespaced,v1alpha1,operateur/config/crd/bases/aiops.imperium.io_aiqualitygates.yaml,operateur/internal/controller/aiqualitygate_controller.go,policy/catalog/aggregate governance
AIRevocationPolicy,airevocationpolicies,Namespaced,v1alpha1,operateur/config/crd/bases/aiops.imperium.io_airevocationpolicies.yaml,operateur/internal/controller/airevocationpolicy_controller.go,outside core paper; feasibility input only
AIRouteOverride,airouteoverrides,Namespaced,v1alpha1,operateur/config/crd/bases/aiops.imperium.io_airouteoverrides.yaml,operateur/internal/controller/airoute_override_controller.go,policy/catalog/aggregate governance
AIRoutingPolicy,airoutingpolicies,Namespaced,v1alpha1,operateur/config/crd/bases/aiops.imperium.io_airoutingpolicies.yaml,operateur/internal/controller/airoutingpolicy_controller.go,policy/catalog/aggregate governance
AISovereigntyPolicy,aisovereigntypolicies,Namespaced,v1alpha1,operateur/config/crd/bases/aiops.imperium.io_aisovereigntypolicies.yaml,operateur/internal/controller/aisovereigntypolicy_controller.go,policy/catalog/aggregate governance
AttestationEvidence,attestationevidences,Namespaced,v1alpha1,operateur/config/crd/bases/aiops.imperium.io_attestationevidences.yaml,operateur/internal/controller/attestationevidence_controller.go,outside core paper; feasibility input only
ConfidentialInferencePolicy,confidentialinferencepolicies,Namespaced,v1alpha1,operateur/config/crd/bases/aiops.imperium.io_confidentialinferencepolicies.yaml,,outside core paper; feasibility input only
RawAttestationReport,rawattestationreports,Namespaced,v1alpha1,operateur/config/crd/bases/aiops.imperium.io_rawattestationreports.yaml,operateur/internal/controller/rawattestationreport_controller.go,outside core paper; feasibility input only
