component,source,version,commit_or_digest,notes
repo_remote,git,origin/main,07cdd3baad26abfa7248dd69cdd507aab4be8177,Article 3 clean baseline
repo_local_original,git,main,1e700a5326c8e385b587eac49430cb830e51f7aa,Dirty local checkout at prompt start
operator_chart,operateur/charts/ai-sovereign-finops-operator/Chart.yaml,0.5.11,appVersion 0.5.11,Clean remote baseline
confidential_platform_chart,charts/ai-confidential-governance-platform/Chart.yaml,0.5.11,appVersion 0.5.11,Clean remote baseline
sovereign_platform_chart,charts/ai-sovereign-platform/Chart.yaml,0.1.0,depends on operator 0.5.11,Clean remote baseline
go,local_toolchain,go1.26.4,,Collected 2026-07-10
git,local_toolchain,2.34.1,,Collected 2026-07-10
kubectl,local_toolchain,v1.35.6,fc0e7a6ca50f7ce368f9a5516e1716b473ed3a26,Client only
helm,local_toolchain,v3.18.6,b76a950f6835474e0906b96c9ec68a2eff3a6430,Collected 2026-07-10
kind,local_toolchain,v0.31.0,,Collected 2026-07-10
envtest_assets,operateur/bin,1.31.0-linux-amd64,,Installed during audit to unblock controller tests
docker,local_toolchain,28.3.2,578ccf6,Collected 2026-07-11
azure_cli,local_toolchain,2.75.0,,Collected 2026-07-11
gh_cli,local_toolchain,2.4.0+dfsg1,,Collected 2026-07-11
kind_node_image,docker,kindest/node:v1.35.0,sha256:452d707d4862f52530247495d180205e029056831160e22870e37e3f6c1ac31f,Observed on gov-ar and greenops clusters
