NAMESPACE                 LAST SEEN   TYPE      REASON                    OBJECT                                                        MESSAGE
default                   7m9s        Normal    Starting                  node/greenops-control-plane                                   
kube-system               7m19s       Normal    LeaderElection            lease/kube-controller-manager                                 greenops-control-plane_7da6c1e8-59b2-488f-80bb-93a2bcffe1ca became leader
kube-system               7m18s       Normal    LeaderElection            lease/kube-scheduler                                          greenops-control-plane_b7d6a2fe-151a-4e43-8c7c-f32df96d3b73 became leader
default                   7m18s       Normal    Starting                  node/greenops-control-plane                                   Starting kubelet.
default                   7m18s       Normal    NodeAllocatableEnforced   node/greenops-control-plane                                   Updated Node Allocatable limit across pods
default                   7m17s       Normal    NodeHasSufficientMemory   node/greenops-control-plane                                   Node greenops-control-plane status is now: NodeHasSufficientMemory
default                   7m17s       Normal    NodeHasNoDiskPressure     node/greenops-control-plane                                   Node greenops-control-plane status is now: NodeHasNoDiskPressure
default                   7m17s       Normal    NodeHasSufficientPID      node/greenops-control-plane                                   Node greenops-control-plane status is now: NodeHasSufficientPID
kube-system               7m13s       Normal    ScalingReplicaSet         deployment/coredns                                            Scaled up replica set coredns-7d764666f9 from 0 to 2
default                   7m13s       Normal    RegisteredNode            node/greenops-control-plane                                   Node greenops-control-plane event: Registered Node greenops-control-plane in Controller
kube-system               7m13s       Warning   NodeNotReady              pod/kube-controller-manager-greenops-control-plane            Node is not ready
kube-system               7m12s       Normal    SuccessfulCreate          replicaset/coredns-7d764666f9                                 Created pod: coredns-7d764666f9-s8wh7
kube-system               7m12s       Warning   FailedScheduling          pod/coredns-7d764666f9-s8wh7                                  0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
local-path-storage        7m12s       Normal    SuccessfulCreate          replicaset/local-path-provisioner-67b8995b4b                  Created pod: local-path-provisioner-67b8995b4b-bqsg4
kube-system               7m12s       Normal    SuccessfulCreate          daemonset/kube-proxy                                          Created pod: kube-proxy-6mc8x
kube-system               7m12s       Normal    Scheduled                 pod/kindnet-7mshp                                             Successfully assigned kube-system/kindnet-7mshp to greenops-control-plane
kube-system               7m12s       Normal    SuccessfulCreate          daemonset/kindnet                                             Created pod: kindnet-7mshp
local-path-storage        7m12s       Warning   FailedScheduling          pod/local-path-provisioner-67b8995b4b-bqsg4                   0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
local-path-storage        7m12s       Normal    ScalingReplicaSet         deployment/local-path-provisioner                             Scaled up replica set local-path-provisioner-67b8995b4b from 0 to 1
kube-system               7m12s       Warning   FailedScheduling          pod/coredns-7d764666f9-bljdp                                  0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
kube-system               7m12s       Normal    Scheduled                 pod/kube-proxy-6mc8x                                          Successfully assigned kube-system/kube-proxy-6mc8x to greenops-control-plane
kube-system               7m12s       Normal    SuccessfulCreate          replicaset/coredns-7d764666f9                                 Created pod: coredns-7d764666f9-bljdp
kube-system               7m11s       Normal    Pulled                    pod/kindnet-7mshp                                             Container image "docker.io/kindest/kindnetd:v20251212-v0.29.0-alpha-105-g20ccfc88" already present on machine and can be accessed by the pod
kube-system               7m11s       Normal    Pulled                    pod/kube-proxy-6mc8x                                          Container image "registry.k8s.io/kube-proxy:v1.35.0" already present on machine and can be accessed by the pod
