NAMESPACE                 LAST SEEN   TYPE      REASON                    OBJECT                                                        MESSAGE
default                   5m7s        Normal    Starting                  node/greenops-control-plane                                   
kube-system               5m17s       Normal    LeaderElection            lease/kube-controller-manager                                 greenops-control-plane_f6cc433c-d733-4f15-b81e-055c93b17f43 became leader
kube-system               5m17s       Normal    LeaderElection            lease/kube-scheduler                                          greenops-control-plane_a5ea96ed-008a-4f43-b15a-4ff2295acf3a became leader
default                   5m16s       Normal    Starting                  node/greenops-control-plane                                   Starting kubelet.
default                   5m16s       Normal    NodeAllocatableEnforced   node/greenops-control-plane                                   Updated Node Allocatable limit across pods
default                   5m16s       Normal    NodeHasSufficientMemory   node/greenops-control-plane                                   Node greenops-control-plane status is now: NodeHasSufficientMemory
default                   5m16s       Normal    NodeHasNoDiskPressure     node/greenops-control-plane                                   Node greenops-control-plane status is now: NodeHasNoDiskPressure
default                   5m16s       Normal    NodeHasSufficientPID      node/greenops-control-plane                                   Node greenops-control-plane status is now: NodeHasSufficientPID
default                   5m12s       Normal    RegisteredNode            node/greenops-control-plane                                   Node greenops-control-plane event: Registered Node greenops-control-plane in Controller
kube-system               5m11s       Normal    Scheduled                 pod/kube-proxy-sg5sv                                          Successfully assigned kube-system/kube-proxy-sg5sv to greenops-control-plane
kube-system               5m11s       Normal    ScalingReplicaSet         deployment/coredns                                            Scaled up replica set coredns-7d764666f9 from 0 to 2
kube-system               5m11s       Normal    Scheduled                 pod/kindnet-66vtr                                             Successfully assigned kube-system/kindnet-66vtr to greenops-control-plane
kube-system               5m11s       Normal    SuccessfulCreate          daemonset/kindnet                                             Created pod: kindnet-66vtr
local-path-storage        5m11s       Normal    ScalingReplicaSet         deployment/local-path-provisioner                             Scaled up replica set local-path-provisioner-67b8995b4b from 0 to 1
kube-system               5m11s       Normal    SuccessfulCreate          daemonset/kube-proxy                                          Created pod: kube-proxy-sg5sv
local-path-storage        5m10s       Normal    SuccessfulCreate          replicaset/local-path-provisioner-67b8995b4b                  Created pod: local-path-provisioner-67b8995b4b-9gn4n
kube-system               5m10s       Warning   FailedScheduling          pod/coredns-7d764666f9-76xs9                                  0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
kube-system               5m10s       Normal    SuccessfulCreate          replicaset/coredns-7d764666f9                                 Created pod: coredns-7d764666f9-76xs9
kube-system               5m10s       Normal    SuccessfulCreate          replicaset/coredns-7d764666f9                                 Created pod: coredns-7d764666f9-jcm4f
kube-system               5m10s       Normal    Pulled                    pod/kindnet-66vtr                                             Container image "docker.io/kindest/kindnetd:v20251212-v0.29.0-alpha-105-g20ccfc88" already present on machine and can be accessed by the pod
kube-system               5m10s       Warning   FailedScheduling          pod/coredns-7d764666f9-jcm4f                                  0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
