NAMESPACE                 LAST SEEN   TYPE      REASON                    OBJECT                                                       MESSAGE
default                   5m8s        Normal    Starting                  node/greenops-control-plane
default                   5m29s       Normal    NodeAllocatableEnforced   node/greenops-control-plane                                  Updated Node Allocatable limit across pods
default                   5m29s       Normal    NodeHasSufficientPID      node/greenops-control-plane                                  Node greenops-control-plane status is now: NodeHasSufficientPID
default                   5m29s       Normal    NodeHasNoDiskPressure     node/greenops-control-plane                                  Node greenops-control-plane status is now: NodeHasNoDiskPressure
default                   5m29s       Normal    NodeHasSufficientMemory   node/greenops-control-plane                                  Node greenops-control-plane status is now: NodeHasSufficientMemory
default                   5m29s       Normal    Starting                  node/greenops-control-plane                                  Starting kubelet.
kube-system               5m28s       Normal    Pulled                    pod/kube-scheduler-greenops-control-plane                    Container image "registry.k8s.io/kube-scheduler:v1.35.0" already present on machine and can be accessed by the pod
kube-system               5m28s       Normal    Pulled                    pod/kube-controller-manager-greenops-control-plane           Container image "registry.k8s.io/kube-controller-manager:v1.35.0" already present on machine and can be accessed by the pod
kube-system               5m28s       Normal    Pulled                    pod/kube-apiserver-greenops-control-plane                    Container image "registry.k8s.io/kube-apiserver:v1.35.0" already present on machine and can be accessed by the pod
kube-system               5m28s       Normal    Pulled                    pod/etcd-greenops-control-plane                              Container image "registry.k8s.io/etcd:3.6.6-0" already present on machine and can be accessed by the pod
kube-system               5m25s       Normal    Created                   pod/kube-controller-manager-greenops-control-plane           Container created
kube-system               5m25s       Normal    Created                   pod/kube-apiserver-greenops-control-plane                    Container created
kube-system               5m25s       Normal    Created                   pod/kube-scheduler-greenops-control-plane                    Container created
kube-system               5m25s       Normal    Started                   pod/kube-scheduler-greenops-control-plane                    Container started
kube-system               5m24s       Normal    Created                   pod/etcd-greenops-control-plane                              Container created
kube-system               5m24s       Normal    Started                   pod/kube-controller-manager-greenops-control-plane           Container started
kube-system               5m24s       Normal    Started                   pod/etcd-greenops-control-plane                              Container started
kube-system               5m24s       Normal    Started                   pod/kube-apiserver-greenops-control-plane                    Container started
kube-system               5m18s       Normal    LeaderElection            lease/kube-controller-manager                                greenops-control-plane_2519950b-5b1e-4922-8d04-c31206cf517a became leader
kube-system               5m17s       Normal    LeaderElection            lease/kube-scheduler                                         greenops-control-plane_e27e8248-248b-411b-b735-3038081bc285 became leader
default                   5m17s       Normal    Starting                  node/greenops-control-plane                                  Starting kubelet.
default                   5m16s       Normal    NodeHasNoDiskPressure     node/greenops-control-plane                                  Node greenops-control-plane status is now: NodeHasNoDiskPressure
default                   5m16s       Normal    NodeHasSufficientMemory   node/greenops-control-plane                                  Node greenops-control-plane status is now: NodeHasSufficientMemory
default                   5m16s       Normal    NodeAllocatableEnforced   node/greenops-control-plane                                  Updated Node Allocatable limit across pods
default                   5m16s       Normal    NodeHasSufficientPID      node/greenops-control-plane                                  Node greenops-control-plane status is now: NodeHasSufficientPID
default                   5m13s       Normal    RegisteredNode            node/greenops-control-plane                                  Node greenops-control-plane event: Registered Node greenops-control-plane in Controller
kube-system               5m12s       Warning   FailedScheduling          pod/coredns-7d764666f9-jc8c7                                 0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
local-path-storage        5m12s       Warning   FailedScheduling          pod/local-path-provisioner-67b8995b4b-sg5p9                  0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
kube-system               5m12s       Normal    ScalingReplicaSet         deployment/coredns                                           Scaled up replica set coredns-7d764666f9 from 0 to 2
kube-system               5m12s       Normal    Scheduled                 pod/kindnet-fpv4t                                            Successfully assigned kube-system/kindnet-fpv4t to greenops-control-plane
local-path-storage        5m12s       Normal    SuccessfulCreate          replicaset/local-path-provisioner-67b8995b4b                 Created pod: local-path-provisioner-67b8995b4b-sg5p9
kube-system               5m12s       Normal    SuccessfulCreate          daemonset/kube-proxy                                         Created pod: kube-proxy-6zn6p
kube-system               5m12s       Normal    SuccessfulCreate          replicaset/coredns-7d764666f9                                Created pod: coredns-7d764666f9-z5242
local-path-storage        5m12s       Normal    ScalingReplicaSet         deployment/local-path-provisioner                            Scaled up replica set local-path-provisioner-67b8995b4b from 0 to 1
kube-system               5m12s       Warning   FailedScheduling          pod/coredns-7d764666f9-z5242                                 0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
kube-system               5m12s       Normal    SuccessfulCreate          daemonset/kindnet                                            Created pod: kindnet-fpv4t
kube-system               5m12s       Normal    Scheduled                 pod/kube-proxy-6zn6p                                         Successfully assigned kube-system/kube-proxy-6zn6p to greenops-control-plane
kube-system               5m12s       Normal    SuccessfulCreate          replicaset/coredns-7d764666f9                                Created pod: coredns-7d764666f9-jc8c7
kube-system               5m11s       Normal    Pulled                    pod/kube-proxy-6zn6p                                         Container image "registry.k8s.io/kube-proxy:v1.35.0" already present on machine and can be accessed by the pod
kube-system               5m10s       Normal    Pulled                    pod/kindnet-fpv4t                                            Container image "docker.io/kindest/kindnetd:v20251212-v0.29.0-alpha-105-g20ccfc88" already present on machine and can be accessed by the pod
kube-system               5m10s       Normal    Created                   pod/kube-proxy-6zn6p                                         Container created
kube-system               5m9s        Normal    Started                   pod/kube-proxy-6zn6p                                         Container started
kube-system               5m7s        Normal    Created                   pod/kindnet-fpv4t                                            Container created
kube-system               5m6s        Normal    Started                   pod/kindnet-fpv4t                                            Container started
kube-system               4m56s       Normal    TaintManagerEviction      pod/coredns-7d764666f9-z5242                                 Cancelling deletion of Pod kube-system/coredns-7d764666f9-z5242
kube-system               4m56s       Normal    TaintManagerEviction      pod/coredns-7d764666f9-jc8c7                                 Cancelling deletion of Pod kube-system/coredns-7d764666f9-jc8c7
local-path-storage        4m56s       Normal    TaintManagerEviction      pod/local-path-provisioner-67b8995b4b-sg5p9                  Cancelling deletion of Pod local-path-storage/local-path-provisioner-67b8995b4b-sg5p9
kube-system               4m55s       Normal    Pulled                    pod/coredns-7d764666f9-z5242                                 Container image "registry.k8s.io/coredns/coredns:v1.13.1" already present on machine and can be accessed by the pod
kube-system               4m55s       Normal    Pulled                    pod/coredns-7d764666f9-jc8c7                                 Container image "registry.k8s.io/coredns/coredns:v1.13.1" already present on machine and can be accessed by the pod
local-path-storage        4m55s       Normal    Pulled                    pod/local-path-provisioner-67b8995b4b-sg5p9                  Container image "docker.io/kindest/local-path-provisioner:v20251212-v0.29.0-alpha-105-g20ccfc88" already present on machine and can be accessed by the pod
kube-system               4m54s       Normal    Started                   pod/coredns-7d764666f9-z5242                                 Container started
kube-system               4m54s       Normal    Started                   pod/coredns-7d764666f9-jc8c7                                 Container started
kube-system               4m54s       Normal    Scheduled                 pod/coredns-7d764666f9-jc8c7                                 Successfully assigned kube-system/coredns-7d764666f9-jc8c7 to greenops-control-plane
local-path-storage        4m54s       Normal    Scheduled                 pod/local-path-provisioner-67b8995b4b-sg5p9                  Successfully assigned local-path-storage/local-path-provisioner-67b8995b4b-sg5p9 to greenops-control-plane
kube-system               4m54s       Normal    Created                   pod/coredns-7d764666f9-jc8c7                                 Container created
kube-system               4m54s       Normal    Created                   pod/coredns-7d764666f9-z5242                                 Container created
kube-system               4m54s       Normal    Scheduled                 pod/coredns-7d764666f9-z5242                                 Successfully assigned kube-system/coredns-7d764666f9-z5242 to greenops-control-plane
default                   4m54s       Normal    NodeReady                 node/greenops-control-plane                                  Node greenops-control-plane status is now: NodeReady
local-path-storage        4m52s       Normal    Created                   pod/local-path-provisioner-67b8995b4b-sg5p9                  Container created
local-path-storage        4m52s       Normal    Started                   pod/local-path-provisioner-67b8995b4b-sg5p9                  Container started
greenops-system           4m50s       Normal    Scheduled                 pod/greenops-ai-sovereign-finops-operator-8df4bd976-6l6xr    Successfully assigned greenops-system/greenops-ai-sovereign-finops-operator-8df4bd976-6l6xr to greenops-control-plane
greenops-system           4m50s       Normal    Pulled                    pod/greenops-ai-sovereign-finops-operator-8df4bd976-6l6xr    Container image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator:0.3.8" already present on machine and can be accessed by the pod
greenops-system           4m50s       Normal    Created                   pod/greenops-ai-sovereign-finops-operator-8df4bd976-6l6xr    Container created
greenops-system           4m50s       Normal    SuccessfulCreate          replicaset/greenops-ai-sovereign-finops-operator-8df4bd976   Created pod: greenops-ai-sovereign-finops-operator-8df4bd976-6l6xr
greenops-system           4m50s       Normal    ScalingReplicaSet         deployment/greenops-ai-sovereign-finops-operator             Scaled up replica set greenops-ai-sovereign-finops-operator-8df4bd976 from 0 to 1
greenops-system           4m49s       Normal    Started                   pod/greenops-ai-sovereign-finops-operator-8df4bd976-6l6xr    Container started
envoy-gateway-system      4m25s       Normal    Scheduled                 pod/eg-gateway-helm-certgen-dr6mk                            Successfully assigned envoy-gateway-system/eg-gateway-helm-certgen-dr6mk to greenops-control-plane
envoy-gateway-system      4m25s       Normal    Pulling                   pod/eg-gateway-helm-certgen-dr6mk                            Pulling image "docker.io/envoyproxy/gateway:v1.5.0"
envoy-gateway-system      4m25s       Normal    SuccessfulCreate          job/eg-gateway-helm-certgen                                  Created pod: eg-gateway-helm-certgen-dr6mk
envoy-gateway-system      4m10s       Normal    Pulled                    pod/eg-gateway-helm-certgen-dr6mk                            Successfully pulled image "docker.io/envoyproxy/gateway:v1.5.0" in 14.712s (14.712s including waiting). Image size: 74229543 bytes.
envoy-gateway-system      4m10s       Normal    Started                   pod/eg-gateway-helm-certgen-dr6mk                            Container started
envoy-gateway-system      4m10s       Normal    Created                   pod/eg-gateway-helm-certgen-dr6mk                            Container created
envoy-gateway-system      4m3s        Normal    Scheduled                 pod/envoy-gateway-6b9486fbbc-hb97m                           Successfully assigned envoy-gateway-system/envoy-gateway-6b9486fbbc-hb97m to greenops-control-plane
envoy-gateway-system      4m3s        Normal    Completed                 job/eg-gateway-helm-certgen                                  Job completed
envoy-gateway-system      4m3s        Normal    SuccessfulCreate          replicaset/envoy-gateway-6b9486fbbc                          Created pod: envoy-gateway-6b9486fbbc-hb97m
envoy-gateway-system      4m3s        Normal    ScalingReplicaSet         deployment/envoy-gateway                                     Scaled up replica set envoy-gateway-6b9486fbbc from 0 to 1
envoy-gateway-system      4m2s        Normal    Created                   pod/envoy-gateway-6b9486fbbc-hb97m                           Container created
envoy-gateway-system      4m2s        Normal    Pulled                    pod/envoy-gateway-6b9486fbbc-hb97m                           Container image "docker.io/envoyproxy/gateway:v1.5.0" already present on machine and can be accessed by the pod
envoy-gateway-system      4m1s        Normal    Started                   pod/envoy-gateway-6b9486fbbc-hb97m                           Container started
envoy-gateway-system      4m1s        Normal    LeaderElection            lease/5b9825d2.gateway.envoyproxy.io                         envoy-gateway-6b9486fbbc-hb97m_5e6bdb45-09bb-489c-9ab2-9c23f8f68711 became leader
envoy-ai-gateway-system   3m44s       Normal    ScalingReplicaSet         deployment/ai-gateway-controller                             Scaled up replica set ai-gateway-controller-897c74ddb from 0 to 1
envoy-ai-gateway-system   3m43s       Normal    SuccessfulCreate          replicaset/ai-gateway-controller-897c74ddb                   Created pod: ai-gateway-controller-897c74ddb-569dg
envoy-ai-gateway-system   3m43s       Normal    Pulling                   pod/ai-gateway-controller-897c74ddb-569dg                    Pulling image "docker.io/envoyproxy/ai-gateway-controller:v0.7.0"
envoy-ai-gateway-system   3m43s       Normal    Scheduled                 pod/ai-gateway-controller-897c74ddb-569dg                    Successfully assigned envoy-ai-gateway-system/ai-gateway-controller-897c74ddb-569dg to greenops-control-plane
envoy-ai-gateway-system   3m33s       Normal    Started                   pod/ai-gateway-controller-897c74ddb-569dg                    Container started
envoy-ai-gateway-system   3m33s       Normal    Created                   pod/ai-gateway-controller-897c74ddb-569dg                    Container created
envoy-ai-gateway-system   3m33s       Normal    Pulled                    pod/ai-gateway-controller-897c74ddb-569dg                    Successfully pulled image "docker.io/envoyproxy/ai-gateway-controller:v0.7.0" in 11.975s (11.975s including waiting). Image size: 45438281 bytes.
envoy-ai-gateway-system   3m32s       Normal    LeaderElection            lease/envoy-ai-gateway-controller                            ai-gateway-controller-897c74ddb-569dg_4a1241ed-f13e-49c8-aa26-d4ba370fbc81 became leader
envoy-gateway-system      3m26s       Normal    Scheduled                 pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-zsrds    Successfully assigned envoy-gateway-system/envoy-default-greenops-aigw-dac3126f-54f887cbf5-zsrds to greenops-control-plane
envoy-gateway-system      3m26s       Normal    ScalingReplicaSet         deployment/envoy-default-greenops-aigw-dac3126f              Scaled up replica set envoy-default-greenops-aigw-dac3126f-54f887cbf5 from 0 to 1
envoy-gateway-system      3m26s       Normal    SuccessfulCreate          replicaset/envoy-default-greenops-aigw-dac3126f-54f887cbf5   Created pod: envoy-default-greenops-aigw-dac3126f-54f887cbf5-zsrds
envoy-gateway-system      3m25s       Normal    Pulling                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-zsrds    Pulling image "docker.io/envoyproxy/ai-gateway-extproc:v0.7.0"
envoy-gateway-system      3m17s       Normal    Started                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-zsrds    Container started
envoy-gateway-system      3m17s       Normal    Pulled                    pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-zsrds    Successfully pulled image "docker.io/envoyproxy/ai-gateway-extproc:v0.7.0" in 7.958s (7.958s including waiting). Image size: 35535143 bytes.
envoy-gateway-system      3m17s       Normal    Created                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-zsrds    Container created
envoy-gateway-system      3m16s       Normal    Pulling                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-zsrds    Pulling image "docker.io/envoyproxy/envoy:distroless-v1.35.0"
envoy-gateway-system      3m8s        Normal    Created                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-zsrds    Container created
envoy-gateway-system      3m8s        Normal    Pulled                    pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-zsrds    Successfully pulled image "docker.io/envoyproxy/envoy:distroless-v1.35.0" in 8.218s (8.218s including waiting). Image size: 36688109 bytes.
envoy-gateway-system      3m7s        Normal    Started                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-zsrds    Container started
envoy-gateway-system      3m7s        Normal    Created                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-zsrds    Container created
envoy-gateway-system      3m7s        Normal    Pulled                    pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-zsrds    Container image "docker.io/envoyproxy/gateway:v1.5.0" already present on machine and can be accessed by the pod
default                   3m7s        Normal    Reconciled                aigateway/main-gateway                                       Governs 0 namespace(s) via aigw telemetry
envoy-gateway-system      3m7s        Normal    Started                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-zsrds    Container started
finance                   3m6s        Normal    SuccessfulCreate          replicaset/risk-assistant-659f569787                         Created pod: risk-assistant-659f569787-j82rz
legal                     3m6s        Normal    ScalingReplicaSet         deployment/contract-review                                   Scaled up replica set contract-review-787956 from 0 to 1
rh                        3m6s        Normal    Scheduled                 pod/chatbot-rh-5b6476cc45-wczrb                              Successfully assigned rh/chatbot-rh-5b6476cc45-wczrb to greenops-control-plane
rh                        3m6s        Normal    ScalingReplicaSet         deployment/chatbot-rh                                        Scaled up replica set chatbot-rh-5b6476cc45 from 0 to 1
rh                        3m6s        Normal    SuccessfulCreate          replicaset/chatbot-rh-5b6476cc45                             Created pod: chatbot-rh-5b6476cc45-wczrb
finance                   3m6s        Normal    Scheduled                 pod/risk-assistant-659f569787-j82rz                          Successfully assigned finance/risk-assistant-659f569787-j82rz to greenops-control-plane
legal                     3m6s        Normal    SuccessfulCreate          replicaset/contract-review-787956                            Created pod: contract-review-787956-gg7d5
legal                     3m6s        Normal    Scheduled                 pod/contract-review-787956-gg7d5                             Successfully assigned legal/contract-review-787956-gg7d5 to greenops-control-plane
finance                   3m6s        Normal    ScalingReplicaSet         deployment/risk-assistant                                    Scaled up replica set risk-assistant-659f569787 from 0 to 1
rh                        3m5s        Normal    Pulling                   pod/chatbot-rh-5b6476cc45-wczrb                              Pulling image "curlimages/curl:8.10.1"
legal                     3m5s        Normal    Pulling                   pod/contract-review-787956-gg7d5                             Pulling image "curlimages/curl:8.10.1"
finance                   3m5s        Normal    Pulling                   pod/risk-assistant-659f569787-j82rz                          Pulling image "curlimages/curl:8.10.1"
marketing                 3m4s        Normal    SuccessfulCreate          replicaset/content-writer-8594bcdf64                         Created pod: content-writer-8594bcdf64-xxd2m
marketing                 3m4s        Normal    Scheduled                 pod/content-writer-8594bcdf64-xxd2m                          Successfully assigned marketing/content-writer-8594bcdf64-xxd2m to greenops-control-plane
marketing                 3m4s        Normal    Pulling                   pod/content-writer-8594bcdf64-xxd2m                          Pulling image "curlimages/curl:8.10.1"
marketing                 3m4s        Normal    ScalingReplicaSet         deployment/content-writer                                    Scaled up replica set content-writer-8594bcdf64 from 0 to 1
rh                        2m57s       Normal    Pulled                    pod/chatbot-rh-5b6476cc45-wczrb                              Successfully pulled image "curlimages/curl:8.10.1" in 7.911s (7.911s including waiting). Image size: 9414401 bytes.
rh                        2m57s       Normal    Created                   pod/chatbot-rh-5b6476cc45-wczrb                              Container created
rh                        2m56s       Normal    Created                   pod/chatbot-rh-5b6476cc45-wczrb                              Container created
legal                     2m56s       Normal    Created                   pod/contract-review-787956-gg7d5                             Container created
legal                     2m56s       Normal    Pulled                    pod/contract-review-787956-gg7d5                             Successfully pulled image "curlimages/curl:8.10.1" in 1.556s (9.376s including waiting). Image size: 9414401 bytes.
rh                        2m56s       Normal    Started                   pod/chatbot-rh-5b6476cc45-wczrb                              Container started
rh                        2m56s       Normal    Pulled                    pod/chatbot-rh-5b6476cc45-wczrb                              Container image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator:0.3.8" already present on machine and can be accessed by the pod
rh                        2m56s       Normal    Started                   pod/chatbot-rh-5b6476cc45-wczrb                              Container started
legal                     2m55s       Normal    Started                   pod/contract-review-787956-gg7d5                             Container started
legal                     2m55s       Normal    Created                   pod/contract-review-787956-gg7d5                             Container created
legal                     2m55s       Normal    Pulled                    pod/contract-review-787956-gg7d5                             Container image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator:0.3.8" already present on machine and can be accessed by the pod
finance                   2m54s       Normal    Created                   pod/risk-assistant-659f569787-j82rz                          Container created
finance                   2m54s       Normal    Pulled                    pod/risk-assistant-659f569787-j82rz                          Successfully pulled image "curlimages/curl:8.10.1" in 1.612s (10.965s including waiting). Image size: 9414401 bytes.
legal                     2m54s       Normal    Started                   pod/contract-review-787956-gg7d5                             Container started
finance                   2m53s       Normal    Created                   pod/risk-assistant-659f569787-j82rz                          Container created
finance                   2m53s       Normal    Pulled                    pod/risk-assistant-659f569787-j82rz                          Container image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator:0.3.8" already present on machine and can be accessed by the pod
finance                   2m53s       Normal    Started                   pod/risk-assistant-659f569787-j82rz                          Container started
marketing                 2m53s       Normal    Pulled                    pod/content-writer-8594bcdf64-xxd2m                          Successfully pulled image "curlimages/curl:8.10.1" in 1.394s (11.056s including waiting). Image size: 9414401 bytes.
marketing                 2m53s       Normal    Created                   pod/content-writer-8594bcdf64-xxd2m                          Container created
finance                   2m53s       Normal    Started                   pod/risk-assistant-659f569787-j82rz                          Container started
marketing                 2m52s       Normal    Pulled                    pod/content-writer-8594bcdf64-xxd2m                          Container image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator:0.3.8" already present on machine and can be accessed by the pod
marketing                 2m52s       Normal    Created                   pod/content-writer-8594bcdf64-xxd2m                          Container created
marketing                 2m52s       Normal    Started                   pod/content-writer-8594bcdf64-xxd2m                          Container started
marketing                 2m51s       Normal    Started                   pod/content-writer-8594bcdf64-xxd2m                          Container started
greenops-system           2m49s       Normal    SuccessfulCreate          replicaset/demo-prometheus-7fc44f9f78                        Created pod: demo-prometheus-7fc44f9f78-s8bkk
greenops-system           2m49s       Normal    ScalingReplicaSet         deployment/demo-prometheus                                   Scaled up replica set demo-prometheus-7fc44f9f78 from 0 to 1
greenops-system           2m49s       Normal    ScalingReplicaSet         deployment/demo-grafana                                      Scaled up replica set demo-grafana-5f67d7699d from 0 to 1
greenops-system           2m49s       Normal    SuccessfulCreate          replicaset/demo-grafana-5f67d7699d                           Created pod: demo-grafana-5f67d7699d-qj2gs
greenops-system           2m49s       Normal    Scheduled                 pod/demo-prometheus-7fc44f9f78-s8bkk                         Successfully assigned greenops-system/demo-prometheus-7fc44f9f78-s8bkk to greenops-control-plane
greenops-system           2m49s       Normal    Scheduled                 pod/demo-grafana-5f67d7699d-qj2gs                            Successfully assigned greenops-system/demo-grafana-5f67d7699d-qj2gs to greenops-control-plane
greenops-system           2m48s       Normal    Pulling                   pod/demo-grafana-5f67d7699d-qj2gs                            Pulling image "grafana/grafana:11.2.2"
