NAMESPACE                 NAME                                            TYPE           CLUSTER-IP      EXTERNAL-IP   PORT(S)                                            AGE
default                   kubernetes                                      ClusterIP      10.96.0.1       <none>        443/TCP                                            5m19s
envoy-ai-gateway-system   ai-gateway-controller                           ClusterIP      10.96.158.74    <none>        9443/TCP,1063/TCP,8080/TCP,18002/TCP               3m44s
envoy-gateway-system      envoy-default-greenops-aigw-dac3126f            LoadBalancer   10.96.15.248    <pending>     80:30586/TCP                                       3m26s
envoy-gateway-system      envoy-gateway                                   ClusterIP      10.96.172.237   <none>        18000/TCP,18001/TCP,18002/TCP,19001/TCP,9443/TCP   4m3s
envoy-gateway-system      greenops-aigw                                   ClusterIP      10.96.58.98     <none>        80/TCP                                             3m6s
envoy-gateway-system      greenops-aigw-metrics                           ClusterIP      10.96.238.145   <none>        1064/TCP                                           3m4s
greenops-system           demo-grafana                                    ClusterIP      10.96.196.118   <none>        3000/TCP                                           2m49s
greenops-system           demo-prometheus                                 ClusterIP      10.96.68.181    <none>        9090/TCP                                           2m49s
greenops-system           greenops-ai-sovereign-finops-operator-metrics   ClusterIP      10.96.66.4      <none>        8080/TCP                                           4m51s
greenops-system           greenops-ai-sovereign-finops-operator-webhook   ClusterIP      10.96.230.210   <none>        443/TCP                                            4m51s
kube-system               kube-dns                                        ClusterIP      10.96.0.10      <none>        53/UDP,53/TCP,9153/TCP                             5m17s
kube-system               tetragon                                        ClusterIP      10.96.234.117   <none>        2112/TCP                                           2m12s
kube-system               tetragon-operator-metrics                       ClusterIP      10.96.168.255   <none>        2113/TCP                                           2m12s
