NAMESPACE                 LAST SEEN   TYPE      REASON                    OBJECT                                                             MESSAGE
default                   11m         Normal    Starting                  node/greenops-control-plane
kube-system               11m         Normal    LeaderElection            lease/kube-controller-manager                                      greenops-control-plane_a086566e-8156-413a-951f-08b68926fb61 became leader
default                   11m         Normal    NodeAllocatableEnforced   node/greenops-control-plane                                        Updated Node Allocatable limit across pods
default                   11m         Normal    Starting                  node/greenops-control-plane                                        Starting kubelet.
default                   11m         Normal    NodeHasSufficientMemory   node/greenops-control-plane                                        Node greenops-control-plane status is now: NodeHasSufficientMemory
default                   11m         Normal    NodeHasNoDiskPressure     node/greenops-control-plane                                        Node greenops-control-plane status is now: NodeHasNoDiskPressure
default                   11m         Normal    NodeHasSufficientPID      node/greenops-control-plane                                        Node greenops-control-plane status is now: NodeHasSufficientPID
default                   11m         Normal    RegisteredNode            node/greenops-control-plane                                        Node greenops-control-plane event: Registered Node greenops-control-plane in Controller
kube-system               11m         Warning   Unhealthy                 pod/kube-scheduler-greenops-control-plane                          Readiness probe failed: HTTP probe failed with statuscode: 500
local-path-storage        11m         Normal    ScalingReplicaSet         deployment/local-path-provisioner                                  Scaled up replica set local-path-provisioner-67b8995b4b from 0 to 1
kube-system               11m         Normal    LeaderElection            lease/kube-scheduler                                               greenops-control-plane_d3d523f2-d2b5-4435-af0f-10a1da240ff4 became leader
kube-system               11m         Normal    ScalingReplicaSet         deployment/coredns                                                 Scaled up replica set coredns-7d764666f9 from 0 to 2
local-path-storage        11m         Warning   FailedScheduling          pod/local-path-provisioner-67b8995b4b-4rpln                        0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
kube-system               11m         Normal    SuccessfulCreate          replicaset/coredns-7d764666f9                                      Created pod: coredns-7d764666f9-chtdj
kube-system               11m         Normal    Scheduled                 pod/kube-proxy-4vvz2                                               Successfully assigned kube-system/kube-proxy-4vvz2 to greenops-control-plane
local-path-storage        11m         Normal    SuccessfulCreate          replicaset/local-path-provisioner-67b8995b4b                       Created pod: local-path-provisioner-67b8995b4b-4rpln
kube-system               11m         Normal    SuccessfulCreate          daemonset/kindnet                                                  Created pod: kindnet-f28kf
kube-system               11m         Warning   FailedScheduling          pod/coredns-7d764666f9-chtdj                                       0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
kube-system               11m         Warning   FailedScheduling          pod/coredns-7d764666f9-qxbnl                                       0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
kube-system               11m         Normal    SuccessfulCreate          daemonset/kube-proxy                                               Created pod: kube-proxy-4vvz2
kube-system               11m         Normal    Scheduled                 pod/kindnet-f28kf                                                  Successfully assigned kube-system/kindnet-f28kf to greenops-control-plane
kube-system               11m         Normal    SuccessfulCreate          replicaset/coredns-7d764666f9                                      Created pod: coredns-7d764666f9-qxbnl
kube-system               11m         Normal    Pulled                    pod/kube-proxy-4vvz2                                               Container image "registry.k8s.io/kube-proxy:v1.35.0" already present on machine and can be accessed by the pod
kube-system               11m         Normal    Pulled                    pod/kindnet-f28kf                                                  Container image "docker.io/kindest/kindnetd:v20251212-v0.29.0-alpha-105-g20ccfc88" already present on machine and can be accessed by the pod
kube-system               11m         Normal    Created                   pod/kube-proxy-4vvz2                                               Container created
