NAMESPACE                 NAME                                                           READY   STATUS      RESTARTS   AGE     IP            NODE                     NOMINATED NODE   READINESS GATES
default                   gateway-metrics-debug-1782192053566572531                      0/1     Completed   0          4m1s    10.244.0.26   greenops-control-plane   <none>           <none>
default                   quality-eval-finance-risk-assistant-quality-3ab0bae23b-25l8j   0/1     Completed   0          2m18s   10.244.0.29   greenops-control-plane   <none>           <none>
default                   quality-eval-legal-contract-quality-9e98125221-7xhhp           0/1     Completed   0          2m18s   10.244.0.31   greenops-control-plane   <none>           <none>
default                   quality-eval-marketing-content-quality-549dedd88f-9966t        0/1     Completed   0          2m18s   10.244.0.32   greenops-control-plane   <none>           <none>
default                   quality-eval-rh-chatbot-quality-61ad01862b-8d8rq               0/1     Completed   0          2m18s   10.244.0.30   greenops-control-plane   <none>           <none>
envoy-ai-gateway-system   ai-gateway-controller-897c74ddb-zw8nw                          1/1     Running     0          8m56s   10.244.0.8    greenops-control-plane   <none>           <none>
envoy-gateway-system      envoy-default-greenops-aigw-dac3126f-5496985bff-6g7fm          3/3     Running     0          8m35s   10.244.0.10   greenops-control-plane   <none>           <none>
envoy-gateway-system      envoy-gateway-6b9486fbbc-5w8cz                                 1/1     Running     0          9m18s   10.244.0.7    greenops-control-plane   <none>           <none>
finance                   risk-assistant-7bd4478ddd-llqx9                                2/2     Running     0          8m8s    10.244.0.13   greenops-control-plane   <none>           <none>
finance                   shadow-ai-rogue-8489765678-q52vf                               1/1     Running     0          6m24s   10.244.0.22   greenops-control-plane   <none>           <none>
greenops-system           demo-grafana-5874d48c5-4xd6b                                   1/1     Running     0          7m9s    10.244.0.20   greenops-control-plane   <none>           <none>
greenops-system           demo-prometheus-7fc44f9f78-h9vsn                               1/1     Running     0          7m9s    10.244.0.19   greenops-control-plane   <none>           <none>
greenops-system           greenops-ai-sovereign-finops-operator-f6b676fb4-frs9c          1/1     Running     0          10m     10.244.0.5    greenops-control-plane   <none>           <none>
kube-system               coredns-7d764666f9-chtdj                                       1/1     Running     0          11m     10.244.0.4    greenops-control-plane   <none>           <none>
kube-system               coredns-7d764666f9-qxbnl                                       1/1     Running     0          11m     10.244.0.3    greenops-control-plane   <none>           <none>
kube-system               etcd-greenops-control-plane                                    1/1     Running     0          11m     172.19.0.2    greenops-control-plane   <none>           <none>
kube-system               kindnet-f28kf                                                  1/1     Running     0          11m     172.19.0.2    greenops-control-plane   <none>           <none>
kube-system               kube-apiserver-greenops-control-plane                          1/1     Running     0          11m     172.19.0.2    greenops-control-plane   <none>           <none>
kube-system               kube-controller-manager-greenops-control-plane                 1/1     Running     0          11m     172.19.0.2    greenops-control-plane   <none>           <none>
kube-system               kube-proxy-4vvz2                                               1/1     Running     0          11m     172.19.0.2    greenops-control-plane   <none>           <none>
kube-system               kube-scheduler-greenops-control-plane                          1/1     Running     0          11m     172.19.0.2    greenops-control-plane   <none>           <none>
kube-system               tetragon-operator-7c9f964ff5-54hlw                             1/1     Running     0          6m45s   10.244.0.21   greenops-control-plane   <none>           <none>
kube-system               tetragon-pvmjr                                                 2/2     Running     0          6m45s   172.19.0.2    greenops-control-plane   <none>           <none>
legal                     contract-review-795d8c9dbf-55vd4                               2/2     Running     0          8m11s   10.244.0.12   greenops-control-plane   <none>           <none>
local-path-storage        local-path-provisioner-67b8995b4b-4rpln                        1/1     Running     0          11m     10.244.0.2    greenops-control-plane   <none>           <none>
marketing                 content-writer-755f88f97b-27dhl                                2/2     Running     0          8m6s    10.244.0.14   greenops-control-plane   <none>           <none>
rh                        chatbot-rh-689c9d7d97-4572s                                    2/2     Running     0          8m11s   10.244.0.11   greenops-control-plane   <none>           <none>
