NAMESPACE                 NAME                                                           READY   STATUS      RESTARTS   AGE     IP            NODE                     NOMINATED NODE   READINESS GATES
default                   gateway-metrics-debug-1782192053566572531                      0/1     Completed   0          56m     10.244.0.26   greenops-control-plane   <none>           <none>
default                   quality-eval-finance-risk-assistant-quality-3bc9c9a108-dx89p   0/1     Completed   0          2m3s    10.244.0.46   greenops-control-plane   <none>           <none>
default                   quality-eval-legal-contract-quality-c75d3c60b7-mrtqn           0/1     Completed   0          2m3s    10.244.0.48   greenops-control-plane   <none>           <none>
default                   quality-eval-marketing-content-quality-e4c79b8b92-mkq7k        0/1     Completed   0          2m3s    10.244.0.49   greenops-control-plane   <none>           <none>
default                   quality-eval-rh-chatbot-quality-d6df45a7c2-2bx5v               0/1     Completed   0          2m3s    10.244.0.47   greenops-control-plane   <none>           <none>
envoy-ai-gateway-system   ai-gateway-controller-897c74ddb-zw8nw                          1/1     Running     0          60m     10.244.0.8    greenops-control-plane   <none>           <none>
envoy-gateway-system      envoy-default-greenops-aigw-dac3126f-54f887cbf5-c25m6          3/3     Running     0          2m26s   10.244.0.41   greenops-control-plane   <none>           <none>
envoy-gateway-system      envoy-gateway-6b9486fbbc-5w8cz                                 1/1     Running     0          61m     10.244.0.7    greenops-control-plane   <none>           <none>
finance                   risk-assistant-7bd4478ddd-jvfct                                2/2     Running     0          2m7s    10.244.0.44   greenops-control-plane   <none>           <none>
finance                   shadow-ai-rogue-8489765678-wzp7l                               1/1     Running     0          103s    10.244.0.52   greenops-control-plane   <none>           <none>
greenops-system           demo-grafana-5874d48c5-8dk25                                   1/1     Running     0          111s    10.244.0.51   greenops-control-plane   <none>           <none>
greenops-system           demo-prometheus-7fc44f9f78-mk56x                               1/1     Running     0          111s    10.244.0.50   greenops-control-plane   <none>           <none>
greenops-system           greenops-ai-sovereign-finops-operator-f6b676fb4-frs9c          1/1     Running     0          62m     10.244.0.5    greenops-control-plane   <none>           <none>
kube-system               coredns-7d764666f9-chtdj                                       1/1     Running     0          63m     10.244.0.4    greenops-control-plane   <none>           <none>
kube-system               coredns-7d764666f9-qxbnl                                       1/1     Running     0          63m     10.244.0.3    greenops-control-plane   <none>           <none>
kube-system               etcd-greenops-control-plane                                    1/1     Running     0          63m     172.19.0.2    greenops-control-plane   <none>           <none>
kube-system               kindnet-f28kf                                                  1/1     Running     0          63m     172.19.0.2    greenops-control-plane   <none>           <none>
kube-system               kube-apiserver-greenops-control-plane                          1/1     Running     0          63m     172.19.0.2    greenops-control-plane   <none>           <none>
kube-system               kube-controller-manager-greenops-control-plane                 1/1     Running     0          63m     172.19.0.2    greenops-control-plane   <none>           <none>
kube-system               kube-proxy-4vvz2                                               1/1     Running     0          63m     172.19.0.2    greenops-control-plane   <none>           <none>
kube-system               kube-scheduler-greenops-control-plane                          1/1     Running     0          63m     172.19.0.2    greenops-control-plane   <none>           <none>
kube-system               tetragon-operator-7c9f964ff5-54hlw                             1/1     Running     0          58m     10.244.0.21   greenops-control-plane   <none>           <none>
kube-system               tetragon-pvmjr                                                 2/2     Running     0          58m     172.19.0.2    greenops-control-plane   <none>           <none>
legal                     contract-review-795d8c9dbf-kjwx5                               2/2     Running     0          2m9s    10.244.0.43   greenops-control-plane   <none>           <none>
local-path-storage        local-path-provisioner-67b8995b4b-4rpln                        1/1     Running     0          63m     10.244.0.2    greenops-control-plane   <none>           <none>
marketing                 content-writer-755f88f97b-9sqn5                                2/2     Running     0          2m6s    10.244.0.45   greenops-control-plane   <none>           <none>
rh                        chatbot-rh-689c9d7d97-85986                                    2/2     Running     0          2m9s    10.244.0.42   greenops-control-plane   <none>           <none>
