NAMESPACE                 LAST SEEN   TYPE      REASON                    OBJECT                                                             MESSAGE
default                   8m48s       Normal    Starting                  node/greenops-control-plane
default                   9m7s        Normal    Starting                  node/greenops-control-plane                                        Starting kubelet.
default                   9m6s        Normal    NodeHasSufficientMemory   node/greenops-control-plane                                        Node greenops-control-plane status is now: NodeHasSufficientMemory
default                   9m6s        Normal    NodeHasNoDiskPressure     node/greenops-control-plane                                        Node greenops-control-plane status is now: NodeHasNoDiskPressure
default                   9m6s        Normal    NodeHasSufficientPID      node/greenops-control-plane                                        Node greenops-control-plane status is now: NodeHasSufficientPID
default                   9m6s        Normal    NodeAllocatableEnforced   node/greenops-control-plane                                        Updated Node Allocatable limit across pods
kube-system               9m5s        Normal    Pulled                    pod/etcd-greenops-control-plane                                    Container image "registry.k8s.io/etcd:3.6.6-0" already present on machine and can be accessed by the pod
kube-system               9m5s        Normal    Pulled                    pod/kube-apiserver-greenops-control-plane                          Container image "registry.k8s.io/kube-apiserver:v1.35.0" already present on machine and can be accessed by the pod
kube-system               9m5s        Normal    Pulled                    pod/kube-controller-manager-greenops-control-plane                 Container image "registry.k8s.io/kube-controller-manager:v1.35.0" already present on machine and can be accessed by the pod
kube-system               9m5s        Normal    Pulled                    pod/kube-scheduler-greenops-control-plane                          Container image "registry.k8s.io/kube-scheduler:v1.35.0" already present on machine and can be accessed by the pod
kube-system               9m4s        Normal    Created                   pod/kube-scheduler-greenops-control-plane                          Container created
kube-system               9m3s        Normal    Started                   pod/kube-scheduler-greenops-control-plane                          Container started
kube-system               9m3s        Normal    Created                   pod/etcd-greenops-control-plane                                    Container created
kube-system               9m3s        Normal    Created                   pod/kube-apiserver-greenops-control-plane                          Container created
kube-system               9m3s        Normal    Started                   pod/kube-apiserver-greenops-control-plane                          Container started
kube-system               9m3s        Normal    Created                   pod/kube-controller-manager-greenops-control-plane                 Container created
kube-system               9m2s        Normal    Started                   pod/kube-controller-manager-greenops-control-plane                 Container started
kube-system               9m2s        Normal    Started                   pod/etcd-greenops-control-plane                                    Container started
kube-system               8m57s       Normal    LeaderElection            lease/kube-controller-manager                                      greenops-control-plane_8dc90c96-0777-4fc9-9a82-da5fadfa950b became leader
default                   8m56s       Normal    Starting                  node/greenops-control-plane                                        Starting kubelet.
default                   8m56s       Normal    NodeAllocatableEnforced   node/greenops-control-plane                                        Updated Node Allocatable limit across pods
default                   8m55s       Normal    NodeHasNoDiskPressure     node/greenops-control-plane                                        Node greenops-control-plane status is now: NodeHasNoDiskPressure
default                   8m55s       Normal    NodeHasSufficientPID      node/greenops-control-plane                                        Node greenops-control-plane status is now: NodeHasSufficientPID
default                   8m55s       Normal    NodeHasSufficientMemory   node/greenops-control-plane                                        Node greenops-control-plane status is now: NodeHasSufficientMemory
kube-system               8m53s       Normal    LeaderElection            lease/kube-scheduler                                               greenops-control-plane_efdedd8f-55db-484b-92d1-a9772e404bc9 became leader
