rep,strategy,workload,team,namespace,prompt,model,provider,real,in_tokens,out_tokens,cost_eur,latency_ms,quality_1to5,reroute
1,B1-premium-static,W1-HR-Chatbot,hr,hr,w1-01,gpt-4o,openai-us,true,40,44,0.000540,892,5.00,false
1,B1-premium-static,W1-HR-Chatbot,hr,hr,w1-02,gpt-4o,openai-us,true,41,41,0.000512,946,3.00,false
1,B1-premium-static,W1-HR-Chatbot,hr,hr,w1-03,gpt-4o,openai-us,true,33,89,0.000972,1095,5.00,false
1,B1-premium-static,W1-HR-Chatbot,hr,hr,w1-04,gpt-4o,openai-us,true,32,210,0.002180,2421,5.00,false
1,B1-premium-static,W1-HR-Chatbot,hr,hr,w1-05,gpt-4o,openai-us,true,29,253,0.002603,1992,5.00,false
1,B1-premium-static,W1-HR-Chatbot,hr,hr,w1-06,gpt-4o,openai-us,true,34,117,0.001255,1223,5.00,false
1,B1-premium-static,W1-HR-Chatbot,hr,hr,w1-07,gpt-4o,openai-us,true,35,233,0.002417,1734,5.00,false
1,B1-premium-static,W1-HR-Chatbot,hr,hr,w1-08,gpt-4o,openai-us,true,31,244,0.002517,2292,5.00,false
1,B1-premium-static,W1-HR-Chatbot,hr,hr,w1-09,gpt-4o,openai-us,true,34,151,0.001595,1938,5.00,false
1,B1-premium-static,W1-HR-Chatbot,hr,hr,w1-10,gpt-4o,openai-us,true,37,88,0.000972,1047,3.00,false
1,B1-premium-static,W2-RAG-Docs,knowledge,rag,w2-01,gpt-4o,openai-us,true,60,16,0.000310,548,5.00,false
1,B1-premium-static,W2-RAG-Docs,knowledge,rag,w2-02,gpt-4o,openai-us,true,57,13,0.000272,902,5.00,false
1,B1-premium-static,W2-RAG-Docs,knowledge,rag,w2-03,gpt-4o,openai-us,true,49,9,0.000213,603,5.00,false
1,B1-premium-static,W2-RAG-Docs,knowledge,rag,w2-04,gpt-4o,openai-us,true,60,54,0.000690,773,5.00,false
1,B1-premium-static,W2-RAG-Docs,knowledge,rag,w2-05,gpt-4o,openai-us,true,44,7,0.000180,441,5.00,false
1,B1-premium-static,W2-RAG-Docs,knowledge,rag,w2-06,gpt-4o,openai-us,true,48,25,0.000370,623,5.00,false
1,B1-premium-static,W2-RAG-Docs,knowledge,rag,w2-07,gpt-4o,openai-us,true,48,9,0.000210,449,5.00,false
1,B1-premium-static,W2-RAG-Docs,knowledge,rag,w2-08,gpt-4o,openai-us,true,53,11,0.000242,471,5.00,false
1,B1-premium-static,W2-RAG-Docs,knowledge,rag,w2-09,gpt-4o,openai-us,true,52,9,0.000220,409,5.00,false
