budget_as_pct_of_premium,policy,budget_eur,used_eur,served,blocked,availability_pct,budget_overrun_pct,mean_quality_norm,evidence_label
30,alert-only,0.002428,0.008094,10,0,100.00,233.33,0.8000,SIMULATED
30,hard-block,0.002428,0.004986,6,4,60.00,105.34,0.7500,SIMULATED
30,ours-graceful,0.002428,0.000498,10,0,100.00,0.00,0.8500,SIMULATED
40,alert-only,0.003238,0.008094,10,0,100.00,150.00,0.8000,SIMULATED
40,hard-block,0.003238,0.004986,6,4,60.00,54.00,0.7500,SIMULATED
40,ours-graceful,0.003238,0.000498,10,0,100.00,0.00,0.8500,SIMULATED
50,alert-only,0.004047,0.008094,10,0,100.00,100.00,0.8000,SIMULATED
50,hard-block,0.004047,0.004986,6,4,60.00,23.20,0.7500,SIMULATED
50,ours-graceful,0.004047,0.000498,10,0,100.00,0.00,0.8500,SIMULATED
70,alert-only,0.005666,0.008094,10,0,100.00,42.86,0.8000,SIMULATED
70,hard-block,0.005666,0.008094,10,0,100.00,42.86,0.8000,SIMULATED
70,ours-graceful,0.005666,0.000498,10,0,100.00,0.00,0.8500,SIMULATED
100,alert-only,0.008094,0.008094,10,0,100.00,0.00,0.8000,SIMULATED
100,hard-block,0.008094,0.008094,10,0,100.00,0.00,0.8000,SIMULATED
100,ours-graceful,0.008094,0.000498,10,0,100.00,0.00,0.8500,SIMULATED
