tokens_per_day,managed_monthly_eur,selfhosted_monthly_eur,monthly_savings_eur,payback_months,recommendation
1000000.00,142.50,2500.00,-2357.50,n/a,keep-managed
1500000.00,213.75,2500.00,-2286.25,n/a,keep-managed
2250000.00,320.62,2500.00,-2179.38,n/a,keep-managed
3375000.00,480.94,2500.00,-2019.06,n/a,keep-managed
5062500.00,721.41,2500.00,-1778.59,n/a,keep-managed
7593750.00,1082.11,2500.00,-1417.89,n/a,keep-managed
11390625.00,1623.16,2500.00,-876.84,n/a,keep-managed
17085937.50,2434.75,2500.00,-65.25,n/a,keep-managed
25628906.25,3652.12,2500.00,1152.12,4.30,self-host
38443359.38,5478.18,2500.00,2978.18,1.70,self-host
57665039.06,8217.27,2500.00,5717.27,0.90,self-host
86497558.59,12325.90,2500.00,9825.90,0.50,self-host
129746337.89,18488.85,2500.00,15988.85,0.30,self-host
194619506.84,27733.28,2500.00,25233.28,0.20,self-host
